stair1_50,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
,avg,0.411480759,0.29210214,0.7199928,0.020397601,72.06,0.2892641,0.448112547,0.822282423,0.06644378,19.86120882,0.5145855,0.51742354,0.699278343,1,50
,SD,0.055862648,0.013840738,0.079286153,0.022820879,4.197189536,0.013344125,0.026149309,0.10495977,0.102474266,11.09288716,0.011728884,0.00979134,0.089671768,0,
First Foot,,,,,,,,,,,,,,,,
,avg,0.872045553,0.334740286,0.38755168,0.265008856,61.96,0.253808242,0.644518554,1.682280373,0.1322209,18.17370461,0.258173706,0.33910575,1.222739404,0.606754992,50
,SD,0.10691469,0.03135466,0.043012057,0.049718567,5.858190847,0.022928167,0.088587231,0.441585823,0.08575648,26.13183541,0.019205939,0.02933968,0.208988012,0.173059846,
Second Foot,,,,,,,,,,,,,,,,
,avg,1.115441128,0.597854674,0.5377724,0.261964228,76.42,0.51597564,1.031187394,2.234547565,0.25755298,9.110661402,0.518930062,0.600809096,0.813978734,1.79089669,50
,SD,0.070975343,0.026451775,0.036174795,0.043588864,6.06,0.015515022,0.087840043,0.183371904,0.077321384,1.869546749,0.015090119,0.026626281,0.14837923,0.403477331,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.742724606,0.371348202,0.50155054,0.376236289,72.06,0.260795358,0.722774105,1.363767978,0.24621976,5.951499345,0.513991086,0.62454393,0.699243467,0.803092791,50
,SD,0.046068107,0.01535723,0.032356483,0.070405053,4.197189536,0.004626405,0.06212544,0.305669326,0.07634672,2.154868821,0.01952621,0.024184896,0.095196493,0.217592327,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.621365921,0.328443942,0.53132802,0.224913168,76.42,0.25379768,0.720503354,1.680693727,0.13377644,17.07147151,0.287027022,0.361673284,1.361624276,1.269009671,50
,SD,0.072721147,0.031639493,0.040165304,0.08470004,6.06,0.028018354,0.105036573,0.235768782,0.118486404,7.378790234,0.023916179,0.034041203,0.142202325,0.42400598,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.231597866,0.108695066,0.46755088,0.417436439,72.06,-0.028468742,0.486864992,0.821524975,0.09644348,17.09342696,-0.000814834,0.136348974,0.563298428,0.37602592,50
,SD,0.055946782,0.028342381,0.032113673,0.090599636,4.197189536,0.012971757,0.085311264,0.330936934,0.166107629,18.8305467,0.021983057,0.033292185,0.157166047,0.203227723,
stair2_100,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,afterCrossVelocity,total count
Head 1,,,,,,,,,,,,,,,,
,avg,0.483443782,0.22976402,0.46577312,0.063902903,56.12,0.21671866,0.791655143,0.93196652,0.08022142,27.60368922,0.19682566,0.20987102,0.727907629,1,50
,SD,0.17676058,0.078596061,0.17981759,0.066161873,6.214949718,0.083140431,0.225762431,0.288434346,0.130189252,27.21967967,0.077054247,0.072841575,0.275948534,0,
Head 2,,,,,,,,,,,,,,,,
,avg,0.499434099,0.29124922,0.59377184,0.030247887,60.52,0.28723456,0.437875003,1.019377194,0.0544439,24.90075189,0.51143756,0.51545222,0.811359314,1,50
,SD,0.075137652,0.017395251,0.076275538,0.036166629,3.448129928,0.016793761,0.023329724,0.19031253,0.033203119,17.39761067,0.016817742,0.016134022,0.106076637,0,
First Foot,,,,,,,,,,,,,,,,
,avg,1.0207708,0.338408371,0.33288556,0.308040071,54.92,0.253149229,0.68416856,2.168166303,0.12688762,25.71081739,0.256288713,0.341547855,1.510576513,0.817651878,50
,SD,0.092316639,0.023875335,0.023196192,0.058308995,5.635033274,0.008788902,0.103259863,1.113107744,0.131750226,21.85724408,0.008027338,0.023567226,0.123695577,0.171844729,
Second Foot,,,,,,,,,,,,,,,,
,avg,1.365055621,0.595123986,0.44021782,0.287189794,65.22,0.513556364,1.045276296,2.905149131,0.1955536,15.20234944,0.51620414,0.597771762,1.136255547,1.953806371,50
,SD,0.130830766,0.020121432,0.046181679,0.039775893,5.371368541,0.016959653,0.069038604,0.480425631,0.028803004,3.511304328,0.016946955,0.020181939,0.270604045,0.582612113,
Last Foot,,,,,,,,,,,,,,,,
,avg,0.888867225,0.363734698,0.41177366,0.38508996,60.52,0.26359492,0.702707716,1.702833948,0.2066646,8.896407484,0.516873359,0.617013137,0.907074701,0.753939114,50
,SD,0.077136684,0.011909612,0.032080595,0.046118544,3.448129928,0.006582185,0.065530545,0.345135506,0.085518618,2.548959564,0.00726119,0.01205017,0.133685609,0.155320451,
Net speed(second),,,,,,,,,,,,,,,,
,avg,0.801846721,0.346959454,0.43532898,0.468977978,65.22,0.210616864,0.809515135,2.238830168,0.07644368,33.12842237,0.2348412,0.37118379,1.761870009,1.389074273,50
,SD,0.081346579,0.027882624,0.03897982,0.108110867,5.371368541,0.033250049,0.095403869,0.419564348,0.027812145,14.16829003,0.034381052,0.028931589,0.178952915,0.62449139,
Net speed(last),,,,,,,,,,,,,,,,
,avg,0.288639832,0.109241638,0.38132952,0.458553062,60.52,-0.02363964,0.492556462,1.079793898,0.0622216,21.93446753,0.005063639,0.137944917,0.612375934,0.300244877,50
,SD,0.075509729,0.026930634,0.032541386,0.084189538,3.448129928,0.013947912,0.079391199,0.340010376,0.123946181,27.79506431,0.01636269,0.029781349,0.198568627,0.118114976,
