stair1,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
,SD,0.102355581,0.024727431,0.065281379,0.069042402,6.050929661,0.022516982,0.054160731,0.176749485,0.096731316,2.271515313,0.030224045,0.034214612,0.172976247,,,,,2.873514744
Net speed(last),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.314753069,0.099524637,0.321847084,0.28542732,47.92050209,0.040146649,0.276382187,0.680424297,0.32928541,2.173681851,0.022176536,0.081554523,0.531655751,239,,,Net speed(last),1.017366103
,SD,0.09867312,0.028195763,0.043845675,0.100845124,5.640369116,0.020076068,0.068076216,0.173977807,0.070804256,0.906970013,0.026438597,0.032966838,0.19442591,,,,,1.282017529
stair2_60,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
Head 1,,,,,,,,,,,,,,,,,,stair1_85/stair1_60,startDeltaTimeVelocity
,avg,0.388517889,0.220732233,0.572049597,0.023123027,57.90987124,0.217962456,0.330590941,0.661809218,0.213207215,3.36913156,1.423757207,1.426526985,1,233,,,Head 1,
,SD,0.047793885,0.024690888,0.061877121,0.02633369,6.815504697,0.024403994,0.038414104,0.099859183,0.065558783,1.009882303,0.082535219,0.081745105,0,,,,,
Head 2,,,,,,,,,,,,,,,,,,,
,avg,0.404081599,0.236832612,0.592649441,0.002777643,55.13983051,0.236646906,0.344481062,0.669495559,0.201787059,3.542341703,1.677760561,1.677946267,1,236,,,Head 2,
,SD,0.057043261,0.023460233,0.068488532,0.007243812,6.320663447,0.023340704,0.033289408,0.122697466,0.0549485,1.109170199,0.083343773,0.08331816,0,,,,,
First Foot,,,,,,,,,,,,,,,,,,,
,avg,0.88074762,0.335328373,0.388251478,0.303906016,48.36403509,0.288207086,0.553958849,1.501252978,0.207892658,7.551834233,0.290563493,0.337684779,0.495578845,228,,,First Foot,1.239247954
,SD,0.141082244,0.023273859,0.054004423,0.099544958,6.536263582,0.015780402,0.06589641,0.232536695,0.038818086,2.118249987,0.016354889,0.023977889,0.22511667,,,,,1.166269559
Second Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,1.146663187,0.573658726,0.508604823,0.275129869,57.78787879,0.53587339,0.887226285,1.998650078,0.268203186,7.824900365,0.539353017,0.577138353,1.77983315,231,,,Second Foot,1.155235098
,SD,0.15908401,0.019518988,0.064358551,0.09041319,6.847316301,0.012870793,0.050179843,0.279861007,0.048600084,2.34791331,0.013386778,0.019996654,0.468125079,,,,,0.920736671
Last Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.807414607,0.339766534,0.427251188,0.330199382,55.08974359,0.279117895,0.5857026,1.377396959,0.250424846,5.787591535,0.528816705,0.589465344,0.968492923,234,,,Last Foot,1.097132581
,SD,0.112392206,0.024874071,0.054616324,0.104794292,6.170343805,0.012317388,0.065193036,0.236745337,0.049264196,1.775365992,0.016715941,0.026749913,0.243829288,,,,,1.155794144
Net speed(second),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.74786597,0.352712892,0.490618629,0.311376549,57.4092827,0.297703323,0.680014837,1.495842865,0.372945169,4.302908212,0.287849557,0.342859125,1.252376353,237,,,Net speed(second),1.182400314
,SD,0.203760483,0.043695863,0.087366626,0.499304128,7.887205785,0.180333069,0.387558744,0.29993212,0.071993895,1.845513342,0.173369441,0.040235114,0.497049796,,,,,1.017846115
Net speed(last),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.342725033,0.131490133,0.393198131,0.399843034,55.12236287,0.044687206,0.420712167,0.864822963,0.37046043,2.45210556,0.042730026,0.129532953,0.540888539,237,,,Net speed(last),1.098303573
,SD,0.128763546,0.051291976,0.058448609,0.116167341,6.450542605,0.046358481,0.091203634,0.242949418,0.064024689,1.015684271,0.064336143,0.066491197,0.249257424,,,,,1.126647606
stair1_85,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
Head 1,,,,,,,,,,,,,,,,,,stair2_85/stair2_60,startDeltaTimeVelocity
,avg,0.248021619,0.097732764,0.402266509,0.031783976,44.65652174,0.09386793,0.156966084,0.447893741,0.179176952,2.559747806,1.300113573,1.303978407,1,230,,,Head 1,
,SD,0.043297036,0.012492351,0.063968101,0.029036659,3.594600551,0.013173179,0.020206717,0.069171338,0.02840654,0.56410978,0.082632538,0.081812814,0,,,,,
Head 2,,,,,,,,,,,,,,,,,,,
,avg,0.243293679,0.108854899,0.450875121,0.008020079,43.30833333,0.108304215,0.163141828,0.427342419,0.179627833,2.450323669,1.436775888,1.437326573,1,240,,,Head 2,
,SD,0.034999573,0.012613493,0.043345338,0.014228277,3.592343324,0.012308135,0.019627546,0.069861262,0.029721781,0.611153041,0.085380594,0.085372199,0,,,,,
First Foot,,,,,,,,,,,,,,,,,,,
,avg,0.642163929,0.190377449,0.302160204,0.081937662,31.13716814,0.183543266,0.286604266,1.027267348,0.169074022,6.211690337,0.185049406,0.191883589,0.479796738,226,,,First Foot,1.383668785
,SD,0.114393432,0.016561561,0.037259611,0.099367343,0.951821234,0.016297432,0.032311986,0.174971243,0.020191928,1.512365229,0.016297803,0.016646903,0.186333337,,,,,1.165388769
Second Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.890801,0.312611228,0.354942536,0.234598839,44.7257384,0.278514477,0.519771879,1.541857409,0.178901165,8.735649528,0.281277185,0.315373936,1.468039225,237,,,Second Foot,1.085600584
,SD,0.10747069,0.016296192,0.037267685,0.067590807,3.859982399,0.010038903,0.04068125,0.163041891,0.019198335,1.420000507,0.011689658,0.016945785,0.161227168,,,,,1.448363542
Last Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.631017645,0.198710627,0.318107441,0.295825077,43.39207048,0.149882597,0.363489132,1.087075303,0.1743497,6.316620749,0.272971734,0.321799764,0.844689187,227,,,Last Foot,1.09128244
,SD,0.095888865,0.020715666,0.028684525,0.109126641,3.389609497,0.010528771,0.056830742,0.159111528,0.016823438,1.225407269,0.012467536,0.021584615,0.21125629,,,,,1.0959044
Net speed(second),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.637122824,0.216898754,0.346478017,0.208272878,44.78333333,0.184070617,0.396095416,1.217752056,0.233562479,6.136170005,0.16744539,0.200273527,1.156537537,240,,,Net speed(second),1.06122241
,SD,0.112225919,0.021552435,0.04031684,0.080387511,4.204527982,0.017752458,0.049369355,0.170867517,0.083230265,2.812618868,0.016085344,0.020937244,0.176063201,,,,,1.552053779
Net speed(last),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.357919762,0.10288496,0.292589667,0.328619203,43.25,0.041466865,0.282677409,0.787017395,0.305274725,2.656447992,0.023432564,0.084850659,0.583919411,240,,,Net speed(last),1.092784313
,SD,0.10808671,0.028045193,0.033188656,0.104839579,3.679334179,0.018960026,0.065338278,0.180869548,0.086838495,0.70697688,0.019716788,0.028848188,0.219049486,,,,,1.149938484
stair2_85,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count,,,,
Head 1,,,,,,,,,,,,,,,,,,stair2_85/stair1_85,startDeltaTimeVelocity
,avg,0.460855095,0.202548436,0.44501224,0.073012786,48.02145923,0.194398147,0.308199774,0.780662861,0.175296292,4.59398504,1.404118319,1.412268608,1,233,,,Head 1,
,SD,0.067716596,0.024520753,0.061547361,0.06125191,4.378494413,0.024473551,0.039020766,0.129550809,0.029283126,1.200022881,0.083096659,0.081912424,0,,,,,
Head 2,,,,,,,,,,,,,,,,,,,
,avg,0.464736127,0.235357046,0.509293906,0.009434026,48.22317597,0.234548626,0.341211021,0.786557024,0.176917639,4.687034953,1.672142894,1.672951314,1,233,,,Head 2,
,SD,0.051653352,0.0210319,0.043709532,0.02391405,4.004501142,0.020824845,0.031449229,0.128190009,0.057355142,1.312933356,0.082790673,0.082074697,0,,,,,
First Foot,,,,,,,,,,,,,,,,,,,
,avg,0.990989471,0.329084559,0.338760937,0.326760925,42.2690583,0.284925962,0.539549591,1.642952274,0.18684417,9.051829409,0.286958566,0.331117163,0.685716978,223,,,First Foot,1.429182243
,SD,0.15647324,0.018922356,0.04706783,0.104840969,4.688434631,0.014695565,0.049653985,0.219077142,0.028715436,2.124157793,0.014566577,0.018983967,0.262348439,,,,,1.407952241
Second Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,1.391389928,0.570852399,0.414227536,0.304561071,48.14042553,0.532772269,0.885698542,2.40340951,0.215127872,11.37995235,0.535863755,0.573943885,1.932187907,235,,,Second Foot,1.316169129
,SD,0.139167911,0.019679013,0.042122542,0.089424973,4.40037037,0.015197012,0.058462759,0.26067937,0.025318885,2.081553799,0.015069196,0.019653242,0.678015298,,,,,4.205341486
Last Foot,,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.928345795,0.341635688,0.372410069,0.404603157,48.15948276,0.275370077,0.594362191,1.624970455,0.211109,7.975848741,0.523525435,0.589791046,1.05689932,232,,,Last Foot,1.251228661
,SD,0.127286763,0.024840853,0.037622213,0.126028495,3.612179551,0.013850409,0.067504767,0.251288288,0.033317032,2.066408122,0.02043249,0.026939744,0.267213589,,,,,1.264878736
Net speed(second),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.928443826,0.368845375,0.403668674,0.252402833,48.20083682,0.332244527,0.650542711,1.83014432,0.312456197,6.337791535,0.306475446,0.343076294,1.329049851,239,,,Net speed(second),1.149162746
,SD,0.200438634,0.03574633,0.052994323,0.127016325,5.363115872,0.061165104,0.117356439,0.286233701,0.072041508,2.544312671,0.078069429,0.051184707,0.771448014,,,,,4.381653917
Net speed(last),,,,,,,,,,,,,,,,,,,#DIV/0!
,avg,0.408275979,0.133573984,0.340489389,0.484854711,48.20502092,0.03898281,0.449840812,1.080243351,0.338676297,3.369449605,0.029454263,0.124045437,0.591074511,239,,,Net speed(last),1.012253575
,SD,0.219656893,0.046169822,0.05419847,0.197391189,4.908771917,0.052872896,0.146460163,0.332347583,0.084666655,1.545676022,0.066708757,0.050724959,0.286630705,,,,,1.308520327
,,,,,,,,,,,,,,,,,,,#VALUE!
