stair1,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
stair2_60,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
Head 1,,,,,,,,,,,,,,,
,avg,0.396468121,0.269337012,0.68165985,0.042528047,68.85,0.264094533,0.410281473,0.74603455,0.1988869,3.753446351,1.575868172,1.58111065,1,20
,SD,0.024109849,0.011193947,0.047954618,0.039052258,2.286372673,0.015398473,0.012135478,0.085964879,0.0152751,0.344414195,0.088566486,0.083741869,0,
Head 2,,,,,,,,,,,,,,,
,avg,0.406036435,0.287460772,0.7088818,0.000916002,65.85,0.287421948,0.415724977,0.730864852,0.17499825,4.196615635,1.840100766,1.840139591,1,20
,SD,0.022034044,0.016000198,0.036615761,0.002384368,3.745330426,0.015991302,0.019846078,0.060268371,0.00851642,0.501867923,0.078477686,0.07848669,0,
First Foot,,,,,,,,,,,,,,,
,avg,0.772840413,0.330115571,0.433329,0.218925726,50.3,0.300732296,0.529503917,1.380230319,0.23833095,5.832932209,0.304429959,0.333813234,0.245999424,20
,SD,0.134033715,0.031361828,0.038489633,0.108967211,2.9,0.014275054,0.0592958,0.221401577,0.028212971,0.96649561,0.015888901,0.033057217,0.032682307,
Second Foot,,,,,,,,,,,,,,,
,avg,0.933535991,0.581661292,0.62721595,0.202024101,68.85,0.548882824,0.884033553,1.911052104,0.41610695,4.625989306,0.55235183,0.585130298,1.789266202,20
,SD,0.091792428,0.018357637,0.043386285,0.11707559,2.286372673,0.012420536,0.058696865,0.139534766,0.029286497,0.578209481,0.012803138,0.017757693,0.380823431,
Last Foot,,,,,,,,,,,,,,,
,avg,0.67759554,0.358747734,0.52943915,0.317114093,65.85,0.293647693,0.633162853,1.161235394,0.36610745,3.175514645,0.557029,0.622129042,0.959775191,20
,SD,0.0494424,0.030540187,0.023113818,0.114727361,3.745330426,0.006314969,0.058739151,0.102626553,0.021220265,0.260776906,0.00814193,0.033247749,0.252108859,
Net speed(second),,,,,,,,,,,,,,,
,avg,0.516217752,0.315077716,0.6166605,0.177045203,68.85,0.284788291,0.585420943,1.417083532,0.50499495,3.050655331,0.306942834,0.337232259,1.309682367,20
,SD,0.079778705,0.027829972,0.042817014,0.099080475,2.286372673,0.008895813,0.047224712,0.150314648,0.153214002,0.898998707,0.017577829,0.0383475,0.315988289,
Net speed(last),,,,,,,,,,,,,,,
,avg,0.196880202,0.095869898,0.4855507,0.365133737,65.85,0.006225745,0.369470145,0.639081168,0.38499615,1.744090295,0.047387409,0.137031562,0.486877544,20
,SD,0.031757219,0.018110592,0.029834638,0.111220968,3.745330426,0.012535569,0.073717948,0.136294155,0.094428793,0.468496628,0.024456398,0.050954156,0.252215495,
stair1_85,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
Head 1,,,,,,,,,,,,,,,
,avg,0.285584165,0.148707518,0.522217,0.024638266,53.35,0.146812282,0.229640264,0.534868699,0.17277605,3.111144153,1.455329072,1.457224308,1,20
,SD,0.019662981,0.007783654,0.032202737,0.010033879,2.743628984,0.008340618,0.012671889,0.047744511,0.019396573,0.236709311,0.063211863,0.062820758,0,
Head 2,,,,,,,,,,,,,,,
,avg,0.243757408,0.136016801,0.5588833,0.004917213,52.75,0.13581481,0.199204581,0.447747922,0.1766649,2.544010238,1.587532707,1.587734698,1,20
,SD,0.010541643,0.002932303,0.023596165,0.0057219,2.446936861,0.002879137,0.004202519,0.030711784,0.009875673,0.242789622,0.062258398,0.062102597,0,
First Foot,,,,,,,,,,,,,,,
,avg,0.657255625,0.198119875,0.3088858,0.10583691,31.25,0.190426962,0.299092386,1.027206134,0.18610925,5.544151317,0.19191667,0.199609583,0.455726208,20
,SD,0.169228321,0.033933761,0.032507983,0.123880602,0.887411967,0.027569948,0.058246117,0.247749816,0.01308789,1.409174516,0.027823976,0.034312676,0.199395661,
Second Foot,,,,,,,,,,,,,,,
,avg,0.765542306,0.33971116,0.4466622,0.278175161,53.35,0.296597405,0.559284945,1.435973694,0.3199968,4.510644675,0.298654553,0.341768309,1.386769099,20
,SD,0.076795082,0.017404335,0.033072727,0.125993681,2.743628984,0.011504644,0.05341258,0.101312909,0.020964193,0.461261226,0.012333705,0.017185417,0.098788256,
Last Foot,,,,,,,,,,,,,,,
,avg,0.568122589,0.234159622,0.4099959,0.404073128,52.75,0.163291343,0.45151009,0.986084974,0.3033303,3.235071879,0.317833116,0.388701394,0.933610012,20
,SD,0.080385372,0.04243015,0.022194205,0.134060776,2.446936861,0.023155387,0.080880623,0.197006469,0.0233331,0.510595055,0.011478164,0.029468828,0.182906605,
Net speed(second),,,,,,,,,,,,,,,
,avg,0.458332592,0.196022055,0.4322179,0.272031983,53.35,0.149785123,0.39152635,1.112379716,0.38388505,3.144502067,0.163342023,0.209578955,1.062029283,20
,SD,0.081683064,0.025881662,0.034047556,0.13155814,2.743628984,0.008695159,0.060014353,0.125171384,0.121281795,0.851845982,0.009411387,0.032414827,0.102976378,
Net speed(last),,,,,,,,,,,,,,,
,avg,0.278814247,0.110914665,0.3922183,0.431993283,52.75,0.027476533,0.31395212,0.67916128,0.29499705,2.287799061,0.05031695,0.133755082,0.611772372,20
,SD,0.095969028,0.042285883,0.023596165,0.127679593,2.446936861,0.022621371,0.084626981,0.218515448,0.022899175,0.662837178,0.023182749,0.043881141,0.183801566,
stair2_85,,ascentVelocity,ascentDistance,ascentTime,descentVelocity,length,verticalDistance,totalDistance,maxVelocity,maxVelTime,maxVelSlope,lastY,maxY,startDeltaTimeVelocity,total count
Head 1,,,,,,,,,,,,,,,
